,Company name,CEO
300,CONG TY CP TAP DOAN THEP TIEN LEN ,['>Phạm Thị Hồng<']
301,CONG TY CP ABC VIET NAM ,['>Nguyễn Thị Dịu<']
302,CONG TY CP DAU TU PHAN VU  ,['>B&#249;i Đức Th&#244;ng<']
303,TONG CONG TY MAY NHA BE  CTCP ,['>Phạm Ph&#250; Cường<']
304,CONG TY TNHH KET CAU THEP 568 ,['>Phạm Ngọc Lan<']
305,TONG CONG TY CP BAO MINH ,['>L&#234; Văn Th&#224;nh<']
306,NGAN HANG TNHH MTV STANDARD CHARTERED VIET NAM ,['>Louis Taylor<']
307,CONG TY TNHH PHAT TRIEN PHU MY HUNG ,['>Tseng Fan Chih<']
308,CONG TY CP CHUNG KHOAN VPS ,['>Nguyễn L&#226;m Dũng <']
309,CONG TY CP THUAN HAI ,['>Dương Thanh Hải<']
310,CONG TY TNHH THUONG MAI VA DICH VU THANH TIN ,['>Trần Thanh Nga<']
311,CONG TY TNHH BAO HIEM HANWHA LIFE VIET NAM ,['>Back Jong Kook<']
312,​​CONG TY CP PHAT TRIEN BAT DONG SAN PHAT DAT ,['>B&#249;i Quang Anh Vũ<']
313,CONG TY CP GO AN CUONG ,['>L&#234; Đức Nghĩa<']
314,CONG TY CP LICOGI 16 ,['>Tăng Quốc Thuộc<']
315,CONG TY CP MAY SONG HONG ,['>B&#249;i Đức Thịnh <']
316,CONG TY CP TAP DOAN SUNHOUSE ,['>Nguyễn Xu&#226;n Ph&#250;<']
317,NGAN HANG TNHH INDOVINA ,['>Liu Chun Hao<']
318,CONG TY TNHH THUC AN GIA SUC LAI THIEU ,['>Nguyễn Thị Kim Anh<']
319,CONG TY CP DAU TU TONG HOP HA NOI ,['>Nguyễn Đại Hải<']
320,CONG TY CP PHUC SINH ,['>Phan MinhTh&#244;ng<']
321,CONG TY TNHH CONG NGHIEP CHINH XAC VIET NAM 1 ,['>Chao Wen Hsiang<']
322,CONG TY CP THUC PHAM A CHAU ,['>Nguyễn Mạnh H&#224;<']
323,CONG TY CP CONG NGHE VA DICH VU IMEDIA ,['>Phạm Ngọc T&#250;<']
324,CONG TY TNHH TAP DOAN BIM  BIM GROUP ,['>Đo&#224;n Quốc Huy<']
325,CONG TY TNHH LOUIS DREYFUS COMMODITIES VIET NAM ,['>Eric Gerard Leleu<']
326,CONG TY CP TAP DOAN VITTO ,['>Nguyễn Xu&#226;n Quang<']
327,CONG TY CP CASPER VIET NAM ,['>Nguyễn Viết Chung <']
328,TONG CONG TY TRUYEN THONG VNPTMEDIA ,['>Dương Th&#224;nh Long<']
329,CONG TY SAN XUAT THEP UC SSE ,['>L&#226;m Văn H&#249;ng<']
330,CONG TY TNHH MTV XUAT NHAP KHAU 29 DAK LAK ,['>L&#234; Tiến H&#249;ng<']
331,CONG TY TNHH MTV XO SO KIEN THIET BAC LIEU ,['>Nguyễn Ngọc Thu&#253;<']
332,CONG TY TNHH SAN XUAT VA THUONG MAI MINH NGOC ,['>Đồng Tuấn Vũ<']
333,CONG TY CP THANH TOAN DIEN TU VNPT ,['>Kim Je Hee<']
334,CONG TY CP THUONG MAI DICH VU DAU KHI HAI PHAT ,['>Phạm Thị Thu T&#226;m<']
335,CONG TY TNHH BAO HIEM NHAN THO MB AGEAS ,['>Vũ Hồng Ph&#250;<']
336,CONG TY CP DATVIET VAC GROUP HOLDINGS ,['>Đinh B&#225; Th&#224;nh<']
337,CONG TY TNHH THUONG MAIDICH VUXUAT NHAP KHAU TUONG NGUYEN ,['>L&#234; Thị Hoa<']
338,CONG TY CP DAU TU NAM BAY BAY ,['>Lưu Hải Ca<']
339,CONG TY CP NHUA DONG NAI ,['>Nguyễn Văn Hiếu<']
340,CONG TY CP SAN XUAT KINH DOANH XUAT NHAP KHAU BINH THANH ,['>Nguyễn Gia Vinh<']
341,CONG TY CP DET MAY  DAU TU  THUONG MAI THANH CONG ,['>JUNG SUNG KWAN<']
342,CONG TY CP PIN AC QUY MIEN NAM ,['>Trần Thanh Văn<']
343,CONG TY CP GENTRACO ,['>Nguyễn Trung Ki&#234;n<']
344,TONG CONG TY MAY 10  CTCP ,['>Th&#226;n Đức Việt<']
345,CONG TY CP TRANSIMEX ,['>L&#234; Duy Hiệp<']
346,CONG TY TNHH MTV XO SO KIEN THIET SOC TRANG ,['>L&#234; Văn Khanh<']
347,CONG TY CP DICH VU  KY THUAT CO DIEN LANH REE ,['>Phạm C&#244;ng Ph&#225;p<']
348,CONG TY TNHH THUONG MAI XUAT NHAP KHAU VIET HAN ,['>Phạm Thị Yến<']
349,CONG TY CP DICH VU LAP DAT VAN HANH VA BAO DUONG CONG TRINH DAU KHI BIEN PTSC ,['>Dương H&#249;ng Văn<']
350,CONG TY CP DUOC PHAM THIET BI Y TE HA NOI ,['>Đinh Văn Đ&#244;ng <']
351,CONG TY CP TU VAN XAY DUNG DIEN 2 ,['>Nguyễn Chơn H&#249;ng<']
352,CONG TY CP NHUA CHAU AU ,['>Ho&#224;ng Quốc Huy<']
353,CONG TY CP MASCOPEX ,['>Ng&#244; Xu&#226;n Nam<']
354,CONG TY TNHH SAN XUAT BOT MY VIMAFLOUR ,['>Lim Pang Boon<']
355,CONG TY CP PHAT HANH SACH TP HO CHI MINH  FAHASA ,['>Phạm Minh Thuận<']
356,CONG TY CO PHAN TAP DOAN NOVA CONSUMER ,['>T&#244;n Thất Đề<']
357,CONG TY TNHH THEP KYOEI VIET NAM ,['>Fukunishi Hidekazu<']
358,CONG TY CP LEC GROUP ,['>Trần Đức Tu&#226;n<']
359,CONG TY CP CHUNG KHOAN KY THUONG ,['>Nguyễn Thị Thu Hiền<']
360,CONG TY CP THUONG MAI HIEP HUONG ,['>Trương C&#244;ng Hiệp<']
361,TONG CONG TY CP DET MAY HOA THO ,['>Nguyễn Đức Trị<']
362,CONG TY CP VAT TU HAU GIANG ,['>L&#234; Ho&#224;ng Nam<']
363,CONG TY CP VAT TU  TKV ,['>Tạ Quang Tuấn<']
364,CONG TY TNHH THUONG MAI VA SAN XUAT TUONG VIET ,['>Dương Tấn Trước<']
365,CONG TY TNHH GANG THEP TUYEN QUANG ,"['>Zhang, Qun (Trương Quần)<']"
366,CONG TY CP FECON ,['>Nguyễn Văn Thanh<']
367,CONG TY CP CONG NGHE ELITE ,['>Trần Ho&#224;i Phương Chi<']
368,TONG CONG TY CP DAU TU PHAT TRIEN XAY DUNG ,['>&#212;ng Ho&#224;ng Văn Tăng<']
369,CONG TY TNHH NHA NUOC MTV YEN SAO KHANH HOA ,['>Nguyễn Anh H&#249;ng<']
370,CONG TY TNHH MTV TONG CONG TY THAI SON ,['>Phạm Gặp<']
371,CONG TY CP THEP DONG NAM A ,['>Hồ Văn Phương<']
372,CONG TY CP UNIBEN ,['>Vũ Tiến Dũng<']
373,CONG TY TNHH THUONG MAI TONG HOP TUAN VIET ,['>L&#234; Thị Nữ<']
374,CONG TY CP NUOC  MOI TRUONG BINH DUONG ,['>Trần Chiến C&#244;ng<']
375,CONG TY TNHH PHAN PHOI TIEN TIEN ,['>Trương Quốc Ch&#237;<']
376,CONG TY TNHH PHAT TAI ,['>L&#234; Ph&#225;t Long<']
377,CONG TY CP DICH VU TRUC TUYEN CONG DONG VIET ,['>Ng&#244; Trung Lĩnh<']
378,CONG TY CP TAP DOAN DAT XANH ,['>B&#249;i Ngọc Đức<']
379,CONG TY CP THAIHOLDINGS ,['>Nguyễn Văn Dũng <']
380,CONG TY TNHH MTV THUC PHAM VA DAU TU FOCOCEV ,['>Đ&#224;o Qu&#253; Chung<']
381,CONG TY CP TAP DOAN DUC TUONG  ,['>Nguyễn Đức Tường <']
382,CONG TY CP DAU TU PHAT TRIEN CONG NGHIEP VA VAN TAI ,['>Nguyễn Thanh H&#249;ng<']
383,CONG TY CP DAU TU NAM LONG ,['>Trần Xu&#226;n Ngọc<']
384,CONG TY CP KET CAU THEP ATAD ,['>Nguyễn L&#234; Anh Tuấn<']
385,CONG TY CP DINH DUONG HONG HA ,['>Đỗ Đức Tiến<']
386,CONG TY CP XAY DUNG AN PHONG ,['>Nguyễn Khắc Phong<']
387,CONG TY TNHH DINH DUONG A CHAU VN ,['>Su Meng Chih<']
388,CONG TY CP BOT GIAT LIX ,['>L&#226;m Văn Kiệt<']
389,TONG CONG TY CP BAO HIEM PETROLIMEX ,['>Đ&#224;o Nam Hải<']
390,CONG TY CP DUOC PHAM TRUNG UONG CODUPHA ,['>B&#249;i Hữu Hiền<']
391,CONG TY CP CO KHI XAY DUNG AMECC ,['>Ng&#244; Quốc Thịnh\t<']
392,CONG TY CP SAN XUAT VA THUONG MAI PP ,['>Phan Thị Thu Hương<']
393,CONG TY CP VINACAFE BIEN HOA ,['>Đo&#224;n Quốc Hưng<']
394,CONG TY CP DAU TU  PHAT TRIEN CONG NGHE QUOC GIA ADG ,['>Đặng Vũ To&#224;n<']
395,CONG TY CP XUAT NHAP KHAU THIEN A ,['>Phan Thanh T&#249;ng<']
396,TONG CONG TY GAS PETROLIMEX  CTCP ,['>Vũ Hồng Kh&#225;nh<']
397,CONG TY CP TAP DOAN SEMEC ,['>L&#234; Sơn Long<']
398,TONG CONG TY CHAN NUOI VIET NAM  CTCP ,['>Trịnh Quốc Dũng<']
399,CONG TY CP VAT TU XANG DAU COMECO ,['>L&#234; Tấn Thương<']
400,CONG TY CP HUNG THINH LAND HUNG THINH LAND ,['>L&#234; Trọng Khương<']
401,CONG TY CP DONG HAI BEN TRE ,['>L&#234; B&#225; Phương<']
402,CONG TY CP THUONG MAI DAU KHI CUU LONG ,['>L&#234; Trung Nguy&#234;n Kh&#244;i<']
403,CONG TY CP TAP DOAN DAU KHI AN PHA ,['>Trần Minh Loan<']
404,CONG TY CP CONG NGHIEP VINH TUONG  ,['> Trần Đức Huy<']
405,CONG TY CP TAP DOAN DIEN LANH DIEN MAY VIET UC ,['>Nguyễn Th&#224;nh Phương<']
406,CONG TY CP GIONG BO SUA MOC CHAU ,['>Trần C&#244;ng Chiến<']
407,CONG TY CP EUROWINDOW ,['>Nguyễn Cảnh Hồng<']
408,TONG CONG TY 319 ,['>Nguyễn Minh Khi&#234;m<']
409,TONG CONG TY CONG NGHIEP DAU THUC VAT VIET NAM  CTCP ,['>Nguyễn Thị Xu&#226;n Liễu<']
410,TONG CONG TY VAT LIEU XAY DUNG SO 1  CTCP ,['>Nguyễn Quang Trung<']
411,CONG TY TNHH VINH HIEP  ,['>Th&#225;i Như Hiệp<']
412,CONG TY TNHH MTV APATIT VIET NAM ,['>Nguyễn Tiến Cường<']
413,CONG TY CP TAP DOAN THIEN LONG ,['> Nguyễn Đ&#236;nh T&#226;m<']
414,CONG TY CP THUY SAN SACH VIET NAM ,['>V&#245; Văn Phục<']
415,CONG TY CP RANG DONG HOLDING ,['>Hồ Đức Lam<']
416,CONG TY TNHH MTV DUOC SAI GON ,['>L&#234; Việt H&#249;ng<']
417,CONG TY TNHH LIEN DOANH ONG THEP SENDO ,['>Trương Văn Minh<']
418,CONG TY CP CAO SU PHUOC HOA ,['>Nguyễn Văn Tược<']
419,CONG TY CP TAP DOAN HOANG LONG ,['>Nguyễn Quốc Đạo<']
420,CONG TY CP BAMBOO CAPITAL ,['>Nguyễn Thế T&#224;i<']
421,CONG TY CP GEMADEPT ,['>Nguyễn Thanh B&#236;nh<']
422,CONG TY CP SAI GON FOOD ,['>Nguyễn Quang Tường<']
423,NGAN HANG TMCP XANG DAU PETROLIMEX ,['>Nguyễn Quang Định<']
424,CONG TY CP XAY DUNG HOP LUC ,['>Trần Ngọc T&#226;n<']
425,CONG TY CP VAT TU NONG SAN  ,['>Nguyễn Tiến Dũng<']
426,CONG TY TNHH DAU TU DIA OC THANH PHO ,['>B&#249;i Mạnh Hưng<']
427,CONG TY TNHH CO KHI XAY DUNG DST VIET NAM ,['>Nguyễn Mạnh H&#249;ng<']
428,CONG TY TNHH THUONG MAI VA CONG NGHIEP MY VIET ,['>Nguyễn Minh Tuấn<']
429,TONG CONG TY CP BAO HIEM QUAN DOI  ,['>&#212;ng U&#244;ng Đ&#244;ng Hưng- chủ tịch<']
430,CONG TY CP DAU TU VA XAY DUNG XUAN MAI ,['>Nguyễn Cao Thắng<']
431,CONG TY TNHH MTV BO SUA VIET NAM ,['>Trịnh Quốc Dũng<']
432,TONG CTCP THUONG MAI XAY DUNG ,['>V&#245; Nhật Thăng<']
433,CONG TY THUONG MAI DICH VU TRANG THI  ,['>Vũ Trọng Tuấn<']
434,CONG TY CP THEP VA VAT TU XAY DUNG ,['>Vũ Thị Năm<']
435,CONG TY TNHH MTV THUC AN THUY SAN MEKONG ,['>Đặng Ho&#224;ng Phương<']
436,CONG TY TNHH TRUYEN HINH CAP SAIGONTOURIST ,['>Trần Văn &#218;y<']
437,CONG TY TNHH THUONG MAI  DICH VU HAI SAU SAU ,['>Nguyễn Thị Hồng Hạnh<']
438,CONG TY CP KY THUAT SIGMA ,['>Nguyễn Quang Ngọc <']
439,CONG TY CP CO DIEN TRAN PHU ,['>Đặng Quốc Ch&#237;nh<']
440,CONG TY CP VINAFREIGHT ,['>Nguyễn Huy Diệu<']
441,CONG TY CP NHUA HUNG YEN ,['>Nguyễn Minh T&#226;n<']
442,CONG TY TNHH QUOC TE LIEN DOANH VINACONEX  TAISEI VINATA ,['>Seiichiro Kuwabara<']
443,CONG TY CP ONG DONG TOAN PHAT ,['>B&#249;i Hồng Ph&#250;c<']
444,CONG TY CP TU VAN VA XAY DUNG PHU XUAN ,['>Nguyễn Quốc Mến<']
445,TONG CONG TY THIET BI DIEN DONG ANH  CTCP ,['>Nguyễn Vũ Cường<']
446,CONG TY CP TAP DOAN TOJI ,['>Hồ Minh Tiến<']
447,CONG TY TNHH XAY DUNG TU LAP ,['>Nguyễn Văn Thỏa<']
448, TONG CONG TY DAU TU PHAT TRIEN HA TANG DO THI UDIC  CONG TY TNHH MTV ,['>Nguyễn Minh Quang<']
449,CONG TY TNHH XUAT NHAP KHAU VI NA DAI VIET ,['>Trần Vũ Quỳnh Như<']
450,CONG TY CP MEGRAM ,['>Đỗ Th&#224;nh Trung<']
451,CONG TY TNHH THIET BI DIEN LIOA ,['>Nguyễn Ch&#237; Linh<']
452,CONG TY CP LICOGI 13 ,['>Phạm Văn Thăng<']
453,CONG TY TNHH XUAT NHAP KHAU  THUONG MAI  CONG NGHE  DICH VU HUNG DUY ,['>L&#234; Minh Tr&#250;c<']
454,TONG CONG TY VAN TAI HA NOI ,['>Nguyễn Thanh Nam<']
455,CONG TY CP THUONG MAI CITICOM ,['>L&#234; Phụng Thắng<']
456,CONG TY TNHH HEWLETT  PACKARD VIET NAM ,['>Trần Thị Minh Thuận<']
457,CONG TY CP DAU TU THUONG MAI XNK VIET PHAT ,['>Nguyễn Xu&#226;n Trường<']
458,TONG CONG TY 36 ,['>Nguyễn Đăng Gi&#225;p<']
459,CONG TY TNHH MIWON VIET NAM  ,['>Shin Sangho<']
460,TONG CONG TY LICOGI CTCP ,['>Vũ Tiến Giao<']
461,CONG TY CP HAWEE CO DIEN ,['>Dương Xu&#226;n Đệ <']
462,CONG TY CP THUC PHAM CHOLIMEX ,['>Diệp Nam Hải<']
463,TONG CONG TY CO PHAN BAO HIEM SAI GON  HA NOI ,['>B&#249;i Trung Ki&#234;n<']
464,CONG TY CP DAU TU VAN PHU  INVEST  ,['>Triệu Hữu Đại<']
465,CONG TY CP DAU TU VA PHAT TRIEN BAT DONG SAN AN GIA ,['>Nguyễn B&#225; S&#225;ng<']
466,CONG TY CP THEP TOP PRO ,"['>Hong, Chung-Cheng<']"
467,CONG TY CP XAY DUNG PHUOC THANH ,['>Phạm Thị Thanh Hằng<']
468,CONG TY TNHH KINH DOANH LOP XE BRIDGESTONE VIET NAM ,['>Hiroyuki Saito<']
469,CONG TY CP ECOBA VIET NAM ,['>V&#245; Tiến Đạt<']
470,CONG TY CP CHUNG KHOAN TP HO CHI MINH ,['>Johan Nyvene<']
471,CONG TY TNHH THUONG MAI XAY DUNG VAN TAI THANH LONG ,['>Hồ Kiến Phong<']
472,CONG TY CP DONG TAU VA VAN TAI BIEN NAM PHAT ,['>Phạm Đắc Nam<']
473,TONG CONG TY HOA CHAT VA DICH VU DAU KHI  CTCP ,['>Phan C&#244;ng Th&#224;nh<']
474,CONG TY CP LUYEN KIM TAN NGUYEN HAI DUONG VIET NAM ,['>Hồ Dư Khang (Hu YuKang)<']
475,TONG CONG TY XAY DUNG HA NOI ,['>Đậu Văn Diện<']
476,CONG TY CP TAP DOAN VINACAM  ,['>Vũ Duy Hải<']
477,CONG TY CP CANG HAI PHONG ,['>Nguyễn Tường Anh<']
478,CONG TY CP DAU TU DU LICH VA PHAT TRIEN THUY SAN ,['>&#212;ng L&#234; Văn L&#226;m<']
479,CONG TY CP BAT DONG SAN THE KY ,['>Nguyễn Trung Vũ<']
480,CONG TY CP PHAT TRIEN HA TANG KY THUAT ,['>Đỗ Quang Ng&#244;n<']
481,TONG CONG TY CP BAO HIEM NGAN HANG DAU TU VA PHAT TRIEN VIET NAM ,['>Trần Ho&#224;i An<']
482,CONG TY CP NHUA BAO VAN ,['>Nguyễn Quốc Bảo<']
483,CONG TY CP TAP DOAN CIENCO4 ,['>Nguyễn Tuấn Huỳnh<']
484,CONG TY CP MAY TINH VINH XUAN  ,['>Ng&#244; Thị Kim Ng&#226;n<']
485,CONG TY CP KY NGHE THUC PHAM VIET NAM VIFON  ,['>L&#234; Thị &#193;nh Phương<']
486,CONG TY TNHH ROCHDALE SPEARS ,['>Ho&#224;ng Yến<']
487,CONG TY TNHH BACONCO ,"['>Siquet, Pierre Louis Bernard<']"
488,CONG TY CP DAT PHUONG ,['>Trần Anh Tuấn<']
489,CONG TY CP CHUNG KHOAN VNDIRECT ,['>Đỗ Ngọc Quỳnh<']
490,TONG CONG TY CP PHONG PHU ,['>Phạm Xu&#226;n Tr&#236;nh<']
491,CONG TY CP CONG NGHIEP NHUA PHU LAM ,['>Huang Cheng Hung<']
492,CONG TY CP DONG TAM ,['> Nguyễn Văn H&#249;ng<']
493,CONG TY CP DAU TU LBM ,['>Nguyễn Mạnh Bảo<']
494,CONG TY CP THUC PHAM AN LONG ,['>Huỳnh Tu&#226;n Phương Mai<']
495,CONG TY TNHH LIEN DOANH SAN XUAT OTO NGOI SAO ,['>Ryujiro Kobashi<']
496,CONG TY TNHH HUNG CA ,['>Trần Văn H&#249;ng<']
497,CONG TY CP SAM HOLDINGS ,['>Trần Việt Anh<']
498,TONG CONG TY GIAY VIET NAM  ,['>.<']
499,CONG TY CP HANACANS ,['>Hidetaka Makabe<']
