,Company name,CEO
68,CONG TY TAI CHINH TNHH NGAN HANG VIET NAM THINH VUONG SMBC ,['>Kalidas Ghose<']
69,TONG CONG TY TRUYEN TAI DIEN QUOC GIA ,['>Nguyễn Mạnh H&#249;ng<']
70,CONG TY CP STAVIAN HOA CHAT ,['>Nguyễn Minh T&#250;<']
71,TAP DOAN CENTRAL RETAIL VIET NAM ,['>Olivier Langlet<']
72,CONG TY CP VANG BAC DA QUY PHU NHUAN ,['>L&#234; Tr&#237; Th&#244;ng<']
73,CONG TY CP GIAI PHAP THANH TOAN VIET NAM ,['>L&#234; T&#225;nh<']
74,CONG TY TNHH OLAM VIET NAM ,['>Amit Verma<']
75,TONG CONG TY CP BUU CHINH VIETTEL ,['>Trần Trung Hưng<']
76,CONG TY CP MASAN MEATLIFE ,['>Phạm Trung L&#226;m<']
77,CONG TY TNHH BAO HIEM NHAN THO DAIICHI VIET NAM ,['>Trần Đ&#236;nh Qu&#226;n<']
78,CONG TY CP TAP DOAN THEP NGUYEN MINH ,['>Nguyễn Minh Huy<']
79,CONG TY CP TAP DOAN VAS NGHI SON ,['>Nguyễn Bảo Giang<']
80,CONG TY TNHH CALOFIC ,['>Vũ Văn Ph&#250;<']
81,CONG TY CP DICH VU TONG HOP SAI GON ,['>Phan Dương Cửu Long<']
82,CONG TY TNHH CJ VINA AGRI ,['>Nam Ki Don<']
83,CONG TY CP DAU TU THUONG MAI SMC ,['>Nguyễn Thị Ngọc Loan<']
84,CONG TY TNHH BAO HIEM NHAN THO AIA VIET NAM ,['>Wayne Besant<']
85,CONG TY CP THANH THANH CONG  BIEN HOA ,['>&#212;ng Nguyễn Thanh Ngữ<']
86,CONG TY TNHH CARGILL VIET NAM ,['>Jorge Becerra <']
87,CONG TY CP HYUNDAI THANH CONG VIET NAM ,['>Trần Hữu Ph&#250;<']
88,CONG TY CP DUOC LIEU TRUNG UONG 2  ,['>Nguyễn C&#244;ng Chiến<']
89,TONG CONG TY LUONG THUC MIEN BAC ,['>B&#249;i Thị Thanh T&#226;m<']
90,CONG TY CP BAN LE KY THUAT SO FPT ,['>Ho&#224;ng Trung Ki&#234;n<']
91,CONG TY CP XAY DUNG COTECCONS ,['>N.A<']
92,CONG TY TNHH HAI LINH ,['>L&#234; Văn T&#225;m<']
93,CONG TY TNHH YAMAHA MOTOR VIET NAM ,['>Masaki Asano <']
94,CONG TY CP TAP DOAN THUY SAN MINH PHU ,['>L&#234; Văn Quang<']
95,TAP DOAN DET MAY VIET NAM  ,['>L&#234; Tiến Trường<']
96,NGAN HANG TMCP PHUONG DONG ,['>Nguyễn Đ&#236;nh T&#249;ng<']
97,CONG TY TNHH DE HEUS ,['>Gabor Fluit<']
98,CONG TY TNHH MM MEGA MARKET VIET NAM ,['>Bruno Jousselin<']
